,budget,gross,profit,votes,IMDb score,clusters,cluster
257,16000000.0,5672311.0,-10327689.0,2600.0,6.3,0,salmon colored
258,9000000.0,18196170.0,9196170.0,21000.0,6.9,0,salmon colored
259,5000000.0,12534817.0,7534817.0,11000.0,5.5,0,salmon colored
260,9500000.0,14000000.0,4500000.0,19000.0,7.7,0,salmon colored
261,20500000.0,20205757.0,-294243.0,7300.0,7.3,0,salmon colored
262,20500000.0,11378339.0,-9121661.0,1100.0,4.9,0,salmon colored
263,11300000.0,5301539.0,-5998461.0,3500.0,6.7,0,salmon colored
264,20500000.0,19282134.0,-1217866.0,13000.0,7.0,0,salmon colored
265,20500000.0,7400000.0,-13100000.0,2000.0,6.5,0,salmon colored
266,750000.0,20205757.0,19455757.0,1700.0,3.6,0,salmon colored
267,20500000.0,1515578.0,-18984422.0,1500.0,5.9,0,salmon colored
268,13000000.0,5005245.0,-7994755.0,2200.0,6.5,0,salmon colored
269,20500000.0,30688860.0,10188860.0,3000.0,5.5,0,salmon colored
270,20500000.0,20123620.0,-376380.0,9000.0,7.4,0,salmon colored
271,10000000.0,5979947.0,-4020053.0,4300.0,6.1,0,salmon colored
272,800000.0,2270.0,-797730.0,2300.0,3.9,0,salmon colored
273,20500000.0,11897978.0,-8602022.0,2500.0,6.9,0,salmon colored
274,2000000.0,4484991.0,2484991.0,8200.0,6.6,0,salmon colored
275,20500000.0,7742572.0,-12757428.0,3700.0,5.6,0,salmon colored
276,850000.0,840958.0,-9042.0,4200.0,7.2,0,salmon colored
277,6000000.0,2666873.0,-3333127.0,3000.0,6.4,0,salmon colored
278,6000000.0,9056073.0,3056073.0,9800.0,5.0,0,salmon colored
279,20500000.0,1054328.0,-19445672.0,1800.0,6.0,0,salmon colored
280,22000000.0,6118683.0,-15881317.0,6100.0,6.4,0,salmon colored
281,20500000.0,15782759.0,-4717241.0,1900.0,6.0,0,salmon colored
282,20500000.0,9077269.0,-11422731.0,19000.0,6.6,0,salmon colored
283,20500000.0,13253583.0,-7246417.0,2000.0,6.5,0,salmon colored
284,15000000.0,36821203.0,21821203.0,2700.0,5.5,0,salmon colored
285,12000000.0,9217530.0,-2782470.0,2500.0,6.9,0,salmon colored
286,17000000.0,946461.0,-16053539.0,684.0,5.1,0,salmon colored
287,11000000.0,1736123.0,-9263877.0,1500.0,6.4,0,salmon colored
288,20500000.0,13258670.0,-7241330.0,3800.0,5.7,0,salmon colored
